year,title,author,publisher
1642,Hiervsalem verwoest. Trevrspel.,Joost van den Vondel 1587-1679,"Matthijsz, Paulus Amsterdam"
1641,"Gysbrecht van Aemstel, d'ondergangh van zijn stad en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Houthaeck, Dirck Cornelisz Amsterdam"
1720,Joseph in Egypten. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
17XX,Lucifer. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
17XX,"De heerlyckheit der kercke haer ingang, opgang, en voortgang.",Joost van den Vondel 1587-1679,"Oude druckerije, de Köln"
1702,"Brieven der heilige maeghden, martelaressen.",Joost van den Vondel 1587-1679,"Lamsvelt, Jan Amsterdam"
17XX,"Gysbregt van Aemstel, d'ondergank van zyne stad en ballingschap. Treur-spel.",Joost van den Vondel 1587-1679,"Veer, Pieter van der Utrecht"
1639,Maeghden. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1721,"Brieven der heilige maegden, martelaressen.",Joost van den Vondel 1587-1679,"Visscher, Barent wed. Amsterdam"
1653,"Scheepskroon behaelt, in den scheepsstrijt, by Livorne, door [...] Joan van Galen.",Joost van den Vondel 1587-1679,"Ravesteyn, Nicolaes van Amsterdam"
1659,Onderwys van het geloofshooftpunt der H. Dryeenigheit.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1662,"Gysbreght van Aemstel. d'Onderganck van zijne stadt, en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Groot, Michiel de Amsterdam"
1665,Joseph in Dothan. Trevrspel.,Joost van den Vondel 1587-1679,"Bouman, Jan Jacobsz Amsterdam"
1733,"Joseph in Dothan, Treur-spel.",Joost van den Vondel 1587-1679,s.n. Rotterdam
17XX,Tooneelschilt of Pleitrede voor het tooneelrecht.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1652,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1627,"Brvyloftbed van den E. heere, Pieter Cornelisz. Hoofd [...] en de E. Ioffr`SUP`e`LO`. Helionora Hellemans.",Joost van den Vondel 1587-1679,"Blaeu, Willem Jansz Amsterdam"
1622,De vernieuwde gulden winckel der kunstlievende Nederlanders.,Joost van den Vondel 1587-1679,"Pers, Dirck Pietersz Amsterdam"
1704,"Gysbrecht van Aemstel, d'ondergangk van sijne stad, en ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed. Amsterdam"
1706,Joseph in Egypten. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1648,De getemde Mars.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1650,"Gysbreght van Aemstel, d'ondergangh van zijn stad en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Houthaeck, Dirck Cornelisz Amsterdam"
1720,Gebroeders. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1716,Vorstelijcke warande der dieren.,Joost van den Vondel 1587-1679,"Blom, Joannes Amsterdam"
1656,"Jaghtzang aen den doorluchtighsten vorst en heer, J. Mauritius.",Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
164X,De koningklycke harp aen Kornelis van Kampen.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1718,Toonneel des menschelyken levens. Of de vernieuwde Gulden winkel.,Joost van den Vondel 1587-1679,"Graal, Jan Amsterdam"
1661,Tooneelschilt of Pleitrede voor het tooneelrecht.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1715,"Faëton, of Reukelooze stoutheid. Treurspel.",Joost van den Vondel 1587-1679,"Lescaille, Jacob erven Amsterdam"
1761,"Joannis metanoe-angeli sive Poemitentiæ præconis, libri sex.",Joost van den Vondel 1587-1679,"Haan, Eustachius de 's-Gravenhage"
1654,"Afbeeldinge van Christine der Zweden Gotten en Wenden koninginne, door David Beck, hare majesteits kamerling, uitgeschildert.",Joost van den Vondel 1587-1679,"Ravesteyn, Nicolaes van Amsterdam"
1618,"Epithalamivm, of bruylofts-gift, toe-ghe-eyghent den [...] heer Iacob Iacobz. Hinlopen [...]. Ende [...] Sara de Wael.",Joost van den Vondel 1587-1679,"Pers, Dirck Pietersz Amsterdam"
1720,Peter en Pauwels. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1709,Maeghden. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1644,Joseph in Egypten. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1661,Maeghden. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1661,Adonias of Rampzalige kroonzucht. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1721,Zegezang ter eeren van Fredrik Hendrik prince van Oranje.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1720,Vorstelijcke warande der dieren.,Joost van den Vondel 1587-1679,"Blom, Joannes Amsterdam"
1707,"Hekeldigten, met aantekeningen, uit 's digters mont op geschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1705,"Hekeldigten, met aanteekeningen, uit's digters mondt opgeschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1647,"Poesy, ofte Verscheide gedichten.",Joost van den Vondel 1587-1679,s.n. Schiedam
1750,Aanleidinge ter Nederduitsche dichtkunste.,Joost van den Vondel 1587-1679,"Hoogstraten, Jacobus van Dordrecht"
1678,"Joseph in Dothan, treurspel.",Joost van den Vondel 1587-1679,"Groot, Michiel de Amsterdam"
1665,Stat-wecker an die Hohen der vereinigten Niederlande.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1661,"Gysbreght van Aemstel. d'ondergangk van zyne stadt, en zyn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1720,Maeghden. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1657,"Keurgedicht op de keurstehouderschap van [...] J. Mauritius, prince van Nassau.",Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1634,Palamedes oft Vermoorde onnoselheyd. Trevr-spel.,Joost van den Vondel 1587-1679,"Colom, Jacob Aertsz I Amsterdam"
1707,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1705,Batavische gebroeders of Onderdrukte vryheit. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1651,Poëzy of verscheide gedichten.,Joost van den Vondel 1587-1679,"Sybes, Gysbert Leeuwarden"
17XX,Vorstelijcke warande der dieren.,Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed., erven van de Amsterdam"
162X,"De Rynstroom, aen Iohan Wolphard, heer te Brederode, vryheer te Vianen.",Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1643,Iervsalem verwoest. Trevrspel.,Joost van den Vondel 1587-1679,"Houthaeck, Dirck Cornelisz Amsterdam"
1626,Begroetenis aen den doorluchtighsten [...] vorst Frederick Henrick.,Joost van den Vondel 1587-1679,"Blaeu, Willem Jansz Amsterdam"
1699,Toonneel des menschelyken levens. Of de vernieuwde Gulden winkel.,Joost van den Vondel 1587-1679,"Lamsveld, Willem van Amsterdam"
1736,"Palamedes of Vermoorde onnozelheit, treurspel.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1766,Joannidos libri sex.,Joost van den Vondel 1587-1679,"Kluyt, Dirk Amsterdam"
1650,Gebroeders. Treurspel.,Joost van den Vondel 1587-1679,"Roest, Adriaen Hermansz Amsterdam"
1718,Altaer-geheimenissen ontvouwen in drie boeken.,Joost van den Vondel 1587-1679,"Nieuwe druckerije, de Köln"
1720,Samson of Heilige wraeck. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1661,Lucifer. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1662,"Toonneel des menschelikken levens, of de vernieuwde gulden-winkel.",Joost van den Vondel 1587-1679,"Wesel, David van Gorinchem"
1720,Leeuwendalers. Lantspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1793,Alle de werken.,Joost van den Vondel 1587-1679,"Leeuw, Jan de Dordrecht"
166X,Lucifer. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1696,Leeuwendalers. Lantspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1662,Bespiegelingen van Godt en godtsdienst.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1664,Joseph in Egypten. Treur-spel.,Joost van den Vondel 1587-1679,"Smient, Otto Barentsz Amsterdam"
17XX,"Palamedes, of Vermoorde onnozelheit. Treurspel.",Joost van den Vondel 1587-1679,"Lescaille, Jacob erven Amsterdam"
1667,Zungchin of Ondergang der Sineesche heerschappye. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1657,"Aanwysing van het eeuwich voorbeeld, en goddelijkken grondvest der eerster christen kerk.",Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
16XX,"Het pascha, ofte De verlossinge Israëls uyt Egypten.",Joost van den Vondel 1587-1679,"Houthaeck, Dirck Cornelisz Amsterdam"
1671,Sofompaneas of Josef in't hof. Treurspel.,Joost van den Vondel 1587-1679,"Bouman, Jan Jacobsz wed. Amsterdam"
1698,"Adam in ballingschap, of Aller treurspeelen treurspel.",Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1656,Blijde inkomste van koninginne Christina Maria Alexandra te Rome.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1728,"Gysbrecht van Aemstel. D'ondergang van zijne stadt, en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Lescaille, Jacob erven Amsterdam"
1636,"Het pascha, ofte De verlossinge Israëls uyt Egypten.",Joost van den Vondel 1587-1679,"Houthaeck, Dirck Cornelisz Amsterdam"
1631,"Lyckoffer van Maeghdebvrgh, ontsteecken op het hoogh avtaer, by Leypzigh, door [...] Gvstaef Adolf.",Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1641,Gebroeders. Trevrspel.,Joost van den Vondel 1587-1679,"Stichel, Dominicus van der Amsterdam"
1716,"Gysbrecht van Aemstel. d'Ondergangk van zijne stadt, en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1697,Ioannes de boedt-gesant.,Joost van den Vondel 1587-1679,"Heurck, Franciscus Xaverius (I) van Brugge"
1704,"Joseph in Dothan, treur-spel.",Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed. Amsterdam"
1661,Jerusalem verwoest. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1645,Altaergeheimenissen ontvouwen in drie boecken.,Joost van den Vondel 1587-1679,"Stichel, Dominicus van der Amsterdam"
1711,Koning David in ballingschap. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1709,"Gysbrecht van Aemstel, d'ondergangk van sijne stad, en ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed. Amsterdam"
1644,Joseph in Dothan. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1640,Kruisbergh en klaght over de tweedraght der christe princen.,Joost van den Vondel 1587-1679,"Jansz, Broer Amsterdam"
1742,"Faëton, of Reukelooze stoutheid, Treurspel.",Joost van den Vondel 1587-1679,"Duim, Izaak Amsterdam"
1720,"Adam in ballingschap, of Aller treurspeelen treurspel.",Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1717,Vorstelijcke warande der dieren.,Joost van den Vondel 1587-1679,"Blom, Joannes Amsterdam"
1672,"Het gedult, de waterbel, en den vergeten borger. Gedicht voor den oprechten patriot.",Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1639,"Ridderlyck bancket, voor heer Adam van Lochorst [...] en ioffer Cornelia Paavw.",Joost van den Vondel 1587-1679,"Blaeu, Joan I Amsterdam"
17XX,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1690,Batavische gebroeders of Onderdruckte vryheit. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
17XX,"Gysbreght van Aemstel, d'ondergang van zyn stad en zyn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Veer, Pieter van der Utrecht"
1699,"Gysbrecht van Aemstel. d'Ondergangk van zijne stadt, en zijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1729,Gysbrecht van Aemstel. Treurspel.,Joost van den Vondel 1587-1679,"Ruarus, David II Amsterdam"
1720,"Maria Stuart, of Gemartelde majesteit. Trevrspel.",Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1630,Palamedes oft Vermoorde onnooselheyd. Treur-spel.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1705,Hierusalem verwoest. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1707,"Hekeldigten, met aanteekeningen, uit 's digters mondt opgeschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1630,Inwying van den christen tempel t'Amsterdam.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1710,Peter en Pauwels. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1711,"Noah, of Ondergang der eerste weerelt. Treurspel.",Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1612,Het pascha ofte De verlossinge Israels wt Egijpten. Tragecomedischer vvijse [...] opt tonneel gestelt.,Joost van den Vondel 1587-1679,"Delf, Adriaen Cornelisz van Schiedam"
166X,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1638,"Gysbreght van Aemstel, d'ondergang van zijn stad en zijn ballingschap. Trevrspel.",Joost van den Vondel 1587-1679,"Hartgersz, Joost Amsterdam"
169X,Maria Stuart of Gemartelde majesteit.,Joost van den Vondel 1587-1679,"Oude druckerije, de Köln"
1629,"Zegesang ter eere van Frederick Henrick, Boschdwinger, Wezelwinner, prince van Oranje.",Joost van den Vondel 1587-1679,"Blaeu, Willem Jansz Amsterdam"
166X,Jeptha of Offerbelofte. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1660,Samson of Heilige wraeck. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1625,Palamedes oft Vermoorde onnooselheyd. Treur-spel.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1654,Gethsemani of Engeletroost.,Joost van den Vondel 1587-1679,"Beeck, Abraham Isaacxsz van der Hoorn"
1792,Gysbrecht van Aemstel; treurspel.,Joost van den Vondel 1587-1679,"Helders, Jan Amsterdam"
1736,"Hekeldichten, met aenteekeningen, uit 'sdichters mondt opgeschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1692,Zungchin of Ondergang der Sineesche heerschappye. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1691,Peter en Pauwels. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1655,"Toonneel des menschelikken levens, of de vernieuwde Gulden winkel.",Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
17XX,"Gysbrecht van Aemstel, d'ondergank van zyne stad, en ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Egmont, Jacobus van I, wed. Amsterdam"
1620,De helden Godes des Ouwden Verbonds.,Joost van den Vondel 1587-1679,"Pers, Dirck Pietersz Amsterdam"
1700,Bespiegelingen van Godt en godtsdienst.,Joost van den Vondel 1587-1679,"Bos, Barent Rotterdam"
1720,"Noah, of Ondergang der eerste weerelt. Treurspel.",Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1655,Inwydinge van't stadthuis t'Amsterdam.,Joost van den Vondel 1587-1679,"Fonteyn, Thomas Amsterdam"
1643,Maeghden. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1707,"Hekeldigten, met aantekeningen, uit 'sdigters mondt opgeschreven.",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
17XX,Rommel-pot van't hane-kot.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
169X,Leeuwendalers. Lantspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1624,Stryd of kamp tusschen kvyscheyd en geylheyd.,Joost van den Vondel 1587-1679,"Colom, Jacob Aertsz I Amsterdam"
1613,Den gulden winckel der konstlievende Nederlanders.,Joost van den Vondel 1587-1679,"Pers, Dirck Pietersz Amsterdam"
1657,De Parnas aen de Belt.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1720,Alle de treurspelen.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1707,Gebroeders. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1648,Leeuwendalers. Lantspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1719,Alle de treurspelen.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1696,Salmoneus. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1696,Joannes de boetgezant.,Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed. Amsterdam"
1641,Peter en Pauwels. Trevrspel.,Joost van den Vondel 1587-1679,"Stichel, Dominicus van der Amsterdam"
1629,Zege-sang. Ter eere van Frederick Henrick; Bosch-dvvinger.,Joost van den Vondel 1587-1679,"Fonteyne, Claude Leeuwarden"
1720,Koningh David in ballinghschap. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1643,Maeghden. Treurspel.,Joost van den Vondel 1587-1679,"Stichel, Dominicus van der Amsterdam"
1745,Gysbrecht van Aemstel; treurspel.,Joost van den Vondel 1587-1679,"Duim, Izaak Amsterdam"
1639,Maeghden. Trevrspel.,Joost van den Vondel 1587-1679,"Stichel, Dominicus van der Amsterdam"
1664,"Adam in ballingschap, of Aller treurspeelen treurspel.",Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1736,Palamedes of Vermoorde onnozelheit. Treurspel.,Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
17XX,"Joseph in Dothan, treur-spel.",Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed. Amsterdam"
1685,Salmoneus. Treurspel.,Joost van den Vondel 1587-1679,"Lescaille, Jacob erven Amsterdam"
17XX,Joseph in Dothan. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1660,Koning David herstelt. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1697,Jeptha of Offerbelofte. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
16XX,Roskam.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1720,Faëton of Reuckelooze stoutheit. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1720,Koning David herstelt. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1646,"De tranen, Petri ende Pauli [...]. Gemeene grondtstem.",Joost van den Vondel 1587-1679,"Matthijsz, Paulus Amsterdam"
1663,"De heerlyckheit der kercke haer ingang, opgang, en voortgang.",Joost van den Vondel 1587-1679,"Oude druckerije, de Köln"
1773,Maagden. Treurspel.,Joost van den Vondel 1587-1679,"Punt, Joannes Amsterdam"
1662,Adonias of Rampzalige kroonzucht. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1640,Joseph in Dothan. Treurspel.,Joost van den Vondel 1587-1679,"Stichel, Dominicus van der Amsterdam"
16XX,Altaergeheimenissen ontvouwen in drie boecken.,Joost van den Vondel 1587-1679,"Nieuwe druckerije, de Köln"
1691,Koning David in ballingschap. Trevrspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1734,"Palamedes, of Vermoorde onnozelheit. Trevrspel.",Joost van den Vondel 1587-1679,"Duim, Izaak Amsterdam"
1705,Adonias of Rampzalige kroonzucht. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Joannes de Amsterdam"
1667,Zeegevier der vrye Nederlanden op den Teems.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
